title,main_speaker,film_date,tags
Reviving New York's rivers -- with oysters!,Kate Orff,2010-12-08T00:00:00Z,"['architecture', 'biology', 'cities', 'design']"
We are makers,Dale Dougherty,2011-01-09T00:00:00Z,"['cities', 'collaboration', 'computers', 'curiosity', 'design', 'drones', 'hack', 'innovation', 'manufacturing', 'media', 'technology']"
Social media and the end of gender,Johanna Blakley,2010-12-08T00:00:00Z,"['advertising', 'culture', 'entertainment', 'media', 'social media']"
Are we born to run?,Christopher McDougall,2010-07-11T00:00:00Z,"['TEDx', 'entertainment', 'health', 'journalism', 'science', 'sports']"
"Poems of war, peace, women, power",Suheir Hammad,2010-12-08T00:00:00Z,"['culture', 'global issues', 'performance', 'poetry', 'war', 'women']"
How to make work-life balance work,Nigel Marsh,2010-05-28T00:00:00Z,"['TEDx', 'business', 'culture', 'life', 'motivation', 'work', 'work-life balance']"
The rise of personal robots,Cynthia Breazeal,2010-12-08T00:00:00Z,"['AI', 'body language', 'business', 'communication', 'design', 'entertainment', 'robots', 'technology']"
Mother and daughter doctor-heroes,Hawa Abdi + Deqo Mohamed,2010-12-08T00:00:00Z,"['community', 'global issues', 'health', 'medicine', 'science', 'women']"
Using nature's genius in architecture,Michael Pawlyn,2010-11-10T00:00:00Z,"['architecture', 'biomimicry', 'design', 'science and art', 'sustainability']"
A whistleblower you haven't heard,Geert Chatrou,2010-06-04T00:00:00Z,"['TEDx', 'entertainment', 'live music', 'music', 'performance']"
Reconnecting with compassion,Krista Tippett,2010-11-18T00:00:00Z,"['charter for compassion', 'compassion', 'faith', 'religion', 'science']"
The linguistic genius of babies,Patricia Kuhl,2010-10-12T00:00:00Z,"['TEDx', 'brain', 'children', 'language', 'science', 'technology']"
Inspiring a life of immersion,Jacqueline Novogratz,2010-12-08T00:00:00Z,"['culture', 'economics', 'global issues', 'investment', 'women in business']"
"The future of business is the ""mesh""",Lisa Gansky,2011-01-08T00:00:00Z,"['business', 'technology']"
On being a woman and a diplomat,Madeleine Albright,2010-12-08T00:00:00Z,"['Foreign Policy', 'Gender equality', 'business', 'iraq']"
How to use experts -- and when not to,Noreena Hertz,2010-11-04T00:00:00Z,"['business', 'choice', 'culture', 'economics']"
Saving faces: A facial surgeon's craft,Iain Hutchison,2010-07-14T00:00:00Z,"['Surgery', 'body language', 'community', 'culture', 'design', 'medical research', 'science', 'science and art']"
Curating humanity's heritage,Elizabeth Lindsey,2010-12-08T00:00:00Z,"['anthropology', 'storytelling']"
Understanding cancer through proteomics,Danny Hillis,2010-10-26T00:00:00Z,"['TED Brain Trust', 'cancer', 'genetics', 'medical research']"
"A modern take on piano, violin, cello",Ahn Trio,2010-12-08T00:00:00Z,"['entertainment', 'live music', 'music', 'performance']"
A historic moment in the Arab world,Wadah Khanfar,2011-03-02T00:00:00Z,"['Egypt', 'Middle East', 'global issues', 'iraq', 'media', 'politics', 'protests', 'technology']"
My wish: Use art to turn the world inside out,JR,2011-03-02T00:00:00Z,"['TED Prize', 'activism', 'art', 'community', 'photography']"
Inside the Egyptian revolution,Wael Ghonim,2011-03-04T00:00:00Z,"['Egypt', 'democracy', 'global issues', 'politics', 'protests', 'social change']"
How state budgets are breaking US schools,Bill Gates,2011-03-03T00:00:00Z,"['aging', 'education', 'money', 'youth']"
Printing a human kidney,Anthony Atala,2011-03-03T00:00:00Z,"['Surgery', 'health care', 'invention', 'medical research', 'prosthetics']"
This isn't her mother's feminism,Courtney E. Martin,2010-12-10T00:00:00Z,"['culture', 'feminism', 'history', 'identity', 'women', 'writing']"
Let's use video to reinvent education,Sal Khan,2011-03-02T00:00:00Z,"['culture', 'education', 'global issues', 'online video', 'teaching']"
The birth of a word,Deb Roy,2011-03-04T00:00:00Z,"['brain', 'children', 'language', 'time']"
How to keep rivers and streams flowing,Rob Harmon,2010-11-04T00:00:00Z,"['TEDx', 'business', 'environment', 'global issues', 'innovation', 'nature', 'rivers', 'sustainability', 'water']"
The social animal,David Brooks,2011-03-01T00:00:00Z,"['brain', 'culture', 'motivation', 'society']"
The sound the universe makes,Janna Levin,2011-03-01T00:00:00Z,"['dark matter', 'science', 'universe']"
A life lesson from a volunteer firefighter,Mark Bezos,2011-03-02T00:00:00Z,"['community', 'compassion', 'culture']"
Why light needs darkness,Rogier van der Heide,2010-10-10T00:00:00Z,"['TEDx', 'architecture', 'design']"
If I should have a daughter ...,Sarah Kay,2011-03-03T00:00:00Z,"['entertainment', 'performance', 'poetry', 'storytelling']"
The magic washing machine,Hans Rosling,2010-12-04T00:00:00Z,"['culture', 'data', 'economics', 'women']"
"Evolution's gift of play, from bonobo apes to humans",Isabel Behncke,2011-03-02T00:00:00Z,"['TED Fellows', 'animals', 'culture', 'play', 'science']"
It's time to question bio-engineering,Paul Root Wolpe,2010-11-11T00:00:00Z,"['Bioethics', 'TEDx', 'biology', 'biomechanics', 'deextinction', 'future', 'genetics', 'philosophy', 'science']"
Human exoskeletons -- for war and healing,Eythor Bender,2011-03-02T00:00:00Z,"['design', 'disability', 'exoskeleton', 'science', 'technology']"
Singing the primal mystery,Claron McFadden,2010-11-11T00:00:00Z,"['TEDx', 'creativity', 'entertainment', 'live music', 'music', 'performance']"
Don't insist on English!,Patricia Ryan,2010-12-04T00:00:00Z,"['TEDx', 'culture', 'global issues', 'language']"
"Cracking Stuxnet, a 21st-century cyber weapon",Ralph Langner,2011-03-03T00:00:00Z,"['Iran', 'computers', 'government', 'nuclear energy', 'science', 'technology', 'war']"
The genius puppetry behind War Horse,Handspring Puppet Co.,2011-03-01T00:00:00Z,"['animals', 'design', 'entertainment', 'performance', 'theater']"
Google's driverless car,Sebastian Thrun,2011-03-02T00:00:00Z,"['business', 'driverless cars', 'robots', 'science', 'technology', 'transportation']"
"A virtual choir 2,000 voices strong",Eric Whitacre,2011-03-01T00:00:00Z,"['collaboration', 'conducting', 'crowdsourcing', 'entertainment', 'music', 'online video', 'virtual reality']"
Hands-on science with squishy circuits,AnnMarie Thomas,2011-03-02T00:00:00Z,"['education', 'science', 'technology', 'toy']"
"Listen, learn ... then lead",Stanley McChrystal,2011-03-04T00:00:00Z,"['culture', 'global issues', 'iraq', 'leadership', 'peace', 'war']"
Everyday compassion at Google,Chade-Meng Tan,2010-11-18T00:00:00Z,"['business', 'charter for compassion', 'culture']"
The greatest TED Talk ever sold,Morgan Spurlock,2011-03-02T00:00:00Z,"['Brand', 'business', 'comedy', 'consumerism', 'film', 'humor', 'movies']"
The invention that unlocked a locked-in artist,Mick Ebeling,2011-03-03T00:00:00Z,"['creativity', 'design', 'disease', 'invention', 'open-source', 'technology']"
Looking past limits,Caroline Casey,2010-12-03T00:00:00Z,"['activism', 'business', 'culture']"
A song inspired by the ocean,Jackson Browne,2010-11-04T00:00:00Z,"['TED Prize', 'TEDx', 'entertainment', 'music', 'oceans']"
The history of our world in 18 minutes,David Christian,2011-03-04T00:00:00Z,"['Internet', 'big bang', 'cosmos', 'history', 'humanity', 'universe', 'visualizations']"
The antidote to apathy,Dave Meslin,2010-10-10T00:00:00Z,"['TEDx', 'collaboration', 'community', 'culture', 'global issues', 'politics']"
Remaking my voice,Roger Ebert,2011-03-04T00:00:00Z,"['community', 'culture', 'speech']"
Open-sourced blueprints for civilization,Marcin Jakubowski,2011-03-01T00:00:00Z,"['TED Fellows', 'culture', 'manufacturing', 'open-source', 'technology']"
"Transplant cells, not organs",Susan Lim,2010-12-07T00:00:00Z,"['business', 'technology']"
A radical experiment in empathy,Sam Richards,2010-10-10T00:00:00Z,"['TEDx', 'culture', 'empathy', 'global issues', 'iraq', 'society', 'sociology', 'war']"
On being wrong,Kathryn Schulz,2011-03-04T00:00:00Z,"['culture', 'failure']"
Teaching with the World Peace Game,John Hunter,2011-03-04T00:00:00Z,"['design', 'education', 'gaming', 'global issues', 'government', 'peace', 'politics', 'war']"
What it takes to do extreme astrophysics,Anil Ananthaswamy,2010-12-08T00:00:00Z,"['exploration', 'journalism', 'science', 'technology', 'telescopes', 'universe']"
3 things I learned while my plane crashed,Ric Elias,2011-03-04T00:00:00Z,"['business', 'storytelling', 'transportation']"
Are we ready for neo-evolution?,Harvey Fineberg,2011-03-02T00:00:00Z,"['Bioethics', 'evolution', 'medicine', 'philosophy', 'science', 'technology']"
The security mirage,Bruce Schneier,2010-10-10T00:00:00Z,"['TEDx', 'culture', 'global issues', 'security', 'technology', 'terrorism']"
Using nature to grow batteries,Angela Belcher,2011-01-14T00:00:00Z,"['DNA', 'TEDx', 'alternative energy', 'biology', 'evolution', 'genetics', 'nature', 'science', 'virus']"
A next-generation digital book,Mike Matas,2011-03-02T00:00:00Z,"['demo', 'design', 'entertainment', 'software', 'technology']"
Turning trash into toys for learning,Arvind Gupta,2010-12-09T00:00:00Z,"['design', 'education', 'play', 'science', 'technology', 'toy']"
"Beware online ""filter bubbles""",Eli Pariser,2011-03-03T00:00:00Z,"['culture', 'global issues', 'journalism', 'politics', 'technology']"
"The mothers who found forgiveness, friendship",Aicha el-Wafi + Phyllis Rodriguez,2010-12-12T00:00:00Z,"['culture', 'friendship', 'global issues', 'parenting', 'terrorism']"
Architecture that senses and responds,Carlo Ratti,2011-03-02T00:00:00Z,"['cities', 'design', 'entertainment', 'technology']"
Grow your own clothes,Suzanne Lee,2011-03-02T00:00:00Z,"['TED Fellows', 'bacteria', 'biology', 'biotech', 'creativity', 'design', 'fashion', 'materials', 'technology']"
Distant time and the hint of a multiverse,Sean Carroll,2011-01-14T00:00:00Z,"['String theory', 'TEDx', 'astronomy', 'cosmos', 'philosophy', 'physics', 'science', 'time', 'universe']"
The hidden beauty of pollination,Louie Schwartzberg,2011-03-02T00:00:00Z,"['beauty', 'bees', 'botany', 'evolution', 'film', 'garden', 'insects', 'life', 'nature', 'plants', 'science']"
Animal tales from icy wonderlands,Paul Nicklen,2011-03-02T00:00:00Z,"['animals', 'biodiversity', 'creativity', 'culture', 'design', 'entertainment', 'photography', 'storytelling']"
"Silk, the ancient material of the future",Fiorenzo Omenetto,2011-03-03T00:00:00Z,"['biology', 'biomimicry', 'design', 'green', 'invention', 'life', 'medicine', 'science', 'technology']"
The hidden power of smiling,Ron Gutman,2011-03-02T00:00:00Z,"['body language', 'culture', 'happiness', 'science', 'society']"
Building a museum of museums on the web,Amit Sood,2011-03-02T00:00:00Z,"['art', 'design', 'technology']"
My friend Richard Feynman,Leonard Susskind,2011-01-14T00:00:00Z,"['TEDx', 'culture', 'history', 'physics', 'science', 'storytelling']"
A light switch for neurons,Ed Boyden,2011-03-03T00:00:00Z,"['brain', 'neuroscience', 'science', 'technology']"
Building the Seed Cathedral,Thomas Heatherwick,2011-03-02T00:00:00Z,"['architecture', 'biomimicry', 'creativity', 'design', 'science and art']"
The mystery of chronic pain,Elliot Krane,2011-03-02T00:00:00Z,"['Senses', 'brain', 'health', 'health care', 'pain', 'science']"
"The weird, wonderful world of bioluminescence",Edith Widder,2011-03-03T00:00:00Z,"['biology', 'deextinction', 'exploration', 'oceans', 'photography', 'science']"
How to tie your shoes,Terry Moore,2005-02-02T00:00:00Z,"['culture', 'demo', 'entertainment']"
Gotta share!,Improv Everywhere,2011-04-28T00:00:00Z,"['entertainment', 'social media']"
Visualizing ourselves ... with crowd-sourced data,Aaron Koblin,2011-03-02T00:00:00Z,"['art', 'collaboration', 'crowdsourcing', 'data', 'design', 'technology', 'visualizations']"
How we'll stop polio for good,Bruce Aylward,2011-03-03T00:00:00Z,"['Vaccines', 'disease', 'global issues', 'health', 'science']"
Art in exile,Shirin Neshat,2010-12-04T00:00:00Z,"['art', 'film', 'global issues', 'photography', 'women']"
Faith versus tradition in Islam,Mustafa Akyol,2011-03-03T00:00:00Z,"['Egypt', 'Islam', 'TEDx', 'culture', 'democracy', 'religion']"
"On violin and cello, ""Passacaglia""",Robert Gupta + Joshua Roman,2011-03-02T00:00:00Z,"['TED Fellows', 'collaboration', 'creativity', 'entertainment', 'live music']"
Authentic creativity vs. karaoke culture,Malcolm McLaren,2009-10-06T00:00:00Z,"['creativity', 'culture', 'entertainment']"
Making a car for blind drivers,Dennis Hong,2011-03-04T00:00:00Z,"['Blindness', 'Senses', 'design', 'sight', 'technology', 'transportation']"
7 rules for making more happiness,Stefan Sagmeister,2010-06-11T00:00:00Z,"['TED Brain Trust', 'art', 'design', 'film', 'happiness', 'motivation']"
Making sense of a visible quantum object,Aaron O'Connell,2011-03-02T00:00:00Z,"['philosophy', 'physics', 'science']"
Wearing nothing new,Jessi Arrington,2011-03-03T00:00:00Z,"['consumerism', 'creativity', 'culture', 'design', 'fashion']"
"We need a ""moral operating system""",Damon Horowitz,2011-05-14T00:00:00Z,"['TEDx', 'culture', 'philosophy', 'technology']"
Building a dinosaur from a chicken,Jack Horner,2011-03-04T00:00:00Z,"['dinosaurs', 'genetics', 'paleontology', 'science']"
Taking imagination seriously,Janet Echelman,2011-03-03T00:00:00Z,"['art', 'cities', 'culture', 'data', 'design', 'technology', 'visualizations']"
The world's first charter city?,Paul Romer,2011-03-03T00:00:00Z,"['business', 'cities', 'culture', 'design', 'global issues']"
Is anatomy destiny?,Alice Dreger,2010-12-15T00:00:00Z,"['Gender spectrum', 'TEDx', 'culture', 'gender']"
Break the silence for suicide attempt survivors,JD Schramm,2011-03-03T00:00:00Z,"['communication', 'culture', 'depression', 'mental health', 'storytelling', 'suicide']"
Medicine's future? There's an app for that,Daniel Kraft,2011-04-04T00:00:00Z,"['TEDx', 'design', 'health care', 'science', 'technology']"
How I became 100 artists,Shea Hembrey,2011-03-03T00:00:00Z,"['art', 'creativity', 'design', 'storytelling']"
"A manifesto for play, for Bulgaria and beyond",Steve Keil,2011-01-08T00:00:00Z,"['Europe', 'TEDx', 'business', 'culture', 'economics', 'play', 'social change']"
Haunting photos of polar ice,Camille Seaman,2011-03-03T00:00:00Z,"['TED Fellows', 'art', 'glacier', 'global issues', 'photography']"
This is beatjazz,Onyx Ashanti,2011-05-24T00:00:00Z,"['design', 'entertainment', 'live music', 'music', 'technology']"
A cello with many voices,Maya Beiser,2011-03-02T00:00:00Z,"['design', 'entertainment', 'live music', 'music', 'technology']"
A future beyond traffic gridlock,Bill Ford,2011-03-03T00:00:00Z,"['cars', 'cities', 'design', 'driverless cars', 'infrastructure', 'mobility', 'technology']"
Different ways of knowing,Daniel Tammet,2011-03-03T00:00:00Z,"['brain', 'culture']"
A circle of caring,Jok Church,2007-03-03T00:00:00Z,"['culture', 'love', 'storytelling']"
A history of the universe in sound,Honor Harger,2011-05-18T00:00:00Z,"['art', 'astronomy', 'design', 'entertainment', 'physics', 'sound', 'technology']"
On being just crazy enough,Joshua Walters,2011-05-24T00:00:00Z,"['brain', 'depression', 'entertainment', 'mental health', 'performance']"
A civil response to violence,Emiliano Salinas,2010-11-01T00:00:00Z,"['TED en EspaÌ±ol', 'TEDx', 'community', 'crime', 'global issues', 'peace', 'social change', 'terrorism', 'violence']"
A Rosetta Stone for a lost language,Rajesh Rao,2011-03-02T00:00:00Z,"['computers', 'history', 'language', 'science']"
Meet e-Patient Dave,Dave deBronkart,2011-04-04T00:00:00Z,"['TEDx', 'collaboration', 'culture', 'data', 'health care', 'science', 'technology']"
Building a park in the sky,Robert Hammond,2011-03-03T00:00:00Z,"['activism', 'architecture', 'cities', 'culture', 'public spaces']"
Try something new for 30 days,Matt Cutts,2011-03-03T00:00:00Z,"['culture', 'success']"
Cooking as never seen before,Nathan Myhrvold,2011-03-03T00:00:00Z,"['TED Brain Trust', 'art', 'creativity', 'design', 'entertainment', 'food', 'photography', 'technology']"
The beautiful tricks of flowers,Jonathan Drori,2011-05-18T00:00:00Z,"['bees', 'biology', 'botany', 'environment', 'insects', 'life', 'plants', 'science', 'sex']"
Don't take consciousness for granted,Simon Lewis,2010-12-01T00:00:00Z,"['consciousness', 'medicine', 'technology']"
Caring for engineered tissue,Nina Tandon,2011-03-02T00:00:00Z,"['TED Fellows', 'biology', 'biomimicry', 'biotech', 'science']"
Let's take back the Internet!,Rebecca MacKinnon,2011-07-12T00:00:00Z,"['Surveillance', 'culture', 'protests', 'social media']"
A global culture to fight extremism,Maajid Nawaz,2011-07-12T00:00:00Z,"['culture', 'democracy', 'global issues', 'politics']"
"Trial, error and the God complex",Tim Harford,2011-07-13T00:00:00Z,"['business', 'creativity', 'culture', 'society']"
See Yemen through my eyes,Nadia Al-Sakkaf,2011-07-13T00:00:00Z,"['communication', 'global issues', 'journalism', 'war', 'women']"
"Fighting viruses, defending the net",Mikko Hypponen,2011-07-14T00:00:00Z,"['Internet', 'TEDx', 'computers', 'crime', 'global issues', 'technology', 'virus']"
"Embracing otherness, embracing myself",Thandie Newton,2011-07-13T00:00:00Z,"['culture', 'entertainment', 'film', 'psychology', 'self']"
How algorithms shape our world,Kevin Slavin,2011-07-13T00:00:00Z,"['complexity', 'computers', 'social change', 'technology']"
A robot that flies like a bird,Markus Fischer,2011-07-15T00:00:00Z,"['animals', 'biomechanics', 'biomimicry', 'design', 'robots', 'technology']"
Time to end the war in Afghanistan,Rory Stewart,2011-07-15T00:00:00Z,"['Foreign Policy', 'Middle East', 'global issues', 'military', 'peace', 'war']"
The surprising math of cities and corporations,Geoffrey West,2011-07-12T00:00:00Z,"['biology', 'business', 'cities', 'complexity', 'infrastructure', 'math', 'science']"
The origins of pleasure,Paul Bloom,2011-07-13T00:00:00Z,"['happiness', 'philosophy', 'psychology', 'science']"
Ending hunger now,Josette Sheeran,2011-07-14T00:00:00Z,"['culture', 'economics', 'food', 'global issues', 'peace', 'politics', 'war']"
5 ways to listen better,Julian Treasure,2011-07-11T00:00:00Z,"['culture', 'social change', 'sound']"
After your final status update,Adam Ostrow,2011-07-11T00:00:00Z,"['consciousness', 'culture', 'self', 'social change', 'social media', 'technology']"
Wireless data from every light bulb,Harald Haas,2011-07-13T00:00:00Z,"['Internet', 'cities', 'invention', 'technology']"
How language transformed humanity,Mark Pagel,2011-07-13T00:00:00Z,"['biology', 'communication', 'culture', 'evolution', 'language', 'science']"
Are we filtering the wrong microbes?,Jessica Green,2011-07-14T00:00:00Z,"['TED Fellows', 'health', 'microbiology', 'science']"
The demise of guys?,Philip Zimbardo,2011-03-01T00:00:00Z,"['culture', 'feminism', 'gaming', 'gender', 'sex']"
"Suddenly, my body",Eve Ensler,2010-12-04T00:00:00Z,"['Human body', 'activism', 'brain', 'cancer', 'culture', 'poetry']"
The shareable future of cities,Alex Steffen,2011-07-12T00:00:00Z,"['architecture', 'cities', 'collaboration', 'design', 'energy', 'environment', 'green', 'infrastructure', 'technology']"
The great penguin rescue,Dyan deNapoli,2011-06-28T00:00:00Z,"['TEDx', 'animals', 'birds', 'collaboration', 'global issues', 'oceans', 'science']"
One day of peace,Jeremy Gilley,2011-07-15T00:00:00Z,"['activism', 'collaboration', 'global issues', 'nonviolence', 'peace', 'war']"
Finding planets around other stars,Lucianne Walkowicz,2011-07-11T00:00:00Z,"['TED Fellows', 'exploration', 'science', 'technology', 'telescopes', 'universe']"
The magic of truth and lies (and iPods),Marco Tempest,2011-07-14T00:00:00Z,"['art', 'design', 'entertainment', 'illusion', 'magic', 'music', 'technology']"
Beware conflicts of interest,Dan Ariely,2011-03-01T00:00:00Z,"['cognitive science', 'economics', 'medical research', 'science', 'technology']"
DNA clues to our inner neanderthal,Svante PÌ_Ì_bo,2011-07-14T00:00:00Z,"['DNA', 'biology', 'evolution', 'science']"
Pay attention to nonviolence,Julia Bacha,2011-07-13T00:00:00Z,"['communication', 'compassion', 'entertainment', 'film', 'nonviolence', 'peace', 'violence', 'war']"
Can we make things that make themselves?,Skylar Tibbits,2011-02-24T00:00:00Z,"['TED Fellows', 'design', 'technology']"
Compassion and the true meaning of empathy,Joan Halifax,2010-12-03T00:00:00Z,"['Buddhism', 'compassion', 'culture', 'death', 'global issues']"
Unintended consequences,Edward Tenner,2011-03-02T00:00:00Z,"['culture', 'design', 'history', 'invention', 'technology']"
My father the forger,Sarah Kaminsky,2010-01-30T00:00:00Z,"['TEDx', 'culture', 'entertainment', 'global issues', 'history', 'storytelling', 'war']"
Making matter come alive,Lee Cronin,2011-07-13T00:00:00Z,"['biology', 'life', 'nanoscale', 'science']"
Shake up your story,Raghava KK,2011-07-12T00:00:00Z,"['books', 'creativity', 'design', 'entertainment', 'storytelling', 'technology']"
Does democracy stifle economic growth?,Yasheng Huang,2011-07-12T00:00:00Z,"['Asia', 'culture', 'democracy', 'economics', 'global issues', 'politics']"
Hire the hackers!,Misha Glenny,2011-07-13T00:00:00Z,"['Internet', 'computers', 'crime', 'global issues', 'technology']"
The art of wearable communication,Kate Hartman,2011-03-02T00:00:00Z,"['art', 'communication', 'culture', 'glacier']"
Welcome to the genomic revolution,Richard Resnick,2011-07-06T00:00:00Z,"['Bioethics', 'DNA', 'TEDx', 'biotech', 'health care', 'science', 'technology']"
The conscience of television,Lauren Zalaznick,2010-12-03T00:00:00Z,"['culture', 'entertainment']"
The Generosity Experiment,Sasha Dichter,2010-11-16T00:00:00Z,"['business', 'global issues', 'philanthropy']"
The 6 killer apps of prosperity,Niall Ferguson,2011-07-14T00:00:00Z,"['business', 'culture', 'economics', 'global issues']"
What we learned from 5 million books,Jean-Baptiste Michel + Erez Lieberman Aiden,2011-07-24T00:00:00Z,"['Google', 'TEDx', 'data', 'design', 'library', 'technology', 'visualizations', 'writing']"
Selling condoms in the Congo,Amy Lockwood,2011-07-14T00:00:00Z,"['Africa', 'business', 'global issues', 'marketing', 'philanthropy']"
Fighting a contagious cancer,Elizabeth Murchison,2011-07-14T00:00:00Z,"['animals', 'biology', 'cancer', 'science']"
"Doodlers, unite!",Sunni Brown,2011-03-03T00:00:00Z,"['business', 'creativity', 'culture', 'presentation']"
A doctor's touch,Abraham Verghese,2011-07-14T00:00:00Z,"['communication', 'culture', 'health', 'health care', 'medicine', 'science']"
A short intro to the Studio School,Geoff Mulgan,2011-07-12T00:00:00Z,"['creativity', 'culture', 'design', 'education', 'work']"
Filming democracy in Ghana,Jarreth Merz,2011-07-14T00:00:00Z,"['Africa', 'democracy', 'entertainment', 'film', 'global issues', 'politics']"
Battling bad science,Ben Goldacre,2011-07-13T00:00:00Z,"['data', 'health care', 'illness', 'illusion', 'medicine', 'pharmaceuticals', 'science']"
A flirtatious aria,Danielle de Niese,2011-07-12T00:00:00Z,"['creativity', 'entertainment', 'sex', 'theater']"
The generation that's remaking China,Yang Lan,2011-07-13T00:00:00Z,"['Asia', 'china', 'economics', 'global issues', 'media', 'politics']"
Finding life we can't imagine,Christoph Adami,2011-02-19T00:00:00Z,"['TEDx', 'bacteria', 'biology', 'evolution', 'life', 'science']"
"Less stuff, more happiness",Graham Hill,2011-03-01T00:00:00Z,"['consumerism', 'culture', 'design', 'happiness', 'media', 'simplicity']"
How to live before you die,Steve Jobs,2005-06-12T00:00:00Z,"['business', 'computers', 'creativity', 'death', 'design', 'goal-setting', 'innovation', 'life', 'technology']"
We can recycle plastic,Mike Biddle,2011-07-14T00:00:00Z,"['business', 'global issues', 'green', 'plastic', 'technology']"
Trusting the ensemble,Charles Hazlewood,2011-07-13T00:00:00Z,"['collaboration', 'conducting', 'culture', 'entertainment', 'music', 'trust']"
What do babies think?,Alison Gopnik,2011-07-13T00:00:00Z,"['brain', 'children', 'culture', 'education', 'psychology']"
How beauty feels,Richard Seymour,2011-05-18T00:00:00Z,"['Senses', 'art', 'beauty', 'design', 'happiness']"
The day I turned down Tim Berners-Lee,Ian Ritchie,2011-07-11T00:00:00Z,"['business', 'history', 'technology', 'web']"
How to spot a liar,Pamela Meyer,2011-07-13T00:00:00Z,"['culture', 'psychology', 'science', 'society']"
My mushroom burial suit,Jae Rhim Lee,2011-07-14T00:00:00Z,"['TED Fellows', 'art', 'death', 'design', 'green', 'invention']"
Learning from a barefoot movement,Bunker Roy,2011-07-14T00:00:00Z,"['culture', 'education', 'global development', 'global issues', 'india', 'invention', 'women']"
Freeing energy from the grid,Justin Hall-Tipping,2011-07-13T00:00:00Z,"['energy', 'entrepreneur', 'environment', 'science', 'technology']"
How cyberattacks threaten real-world peace,Guy-Philippe Goldstein,2010-01-30T00:00:00Z,"['TEDx', 'computers', 'global issues', 'politics', 'security', 'technology', 'terrorism', 'war']"
"A prosthetic arm that ""feels""",Todd Kuiken,2011-07-14T00:00:00Z,"['Senses', 'design', 'engineering', 'invention', 'medicine', 'prosthetics', 'science', 'technology']"
Art made of storms,Nathalie Miebach,2011-07-11T00:00:00Z,"['TED Fellows', 'art', 'data', 'visualizations', 'weather']"
How economic inequality harms societies,Richard Wilkinson,2011-07-12T00:00:00Z,"['culture', 'data', 'global issues', 'inequality', 'money', 'social change', 'visualizations']"
The divided brain,Iain McGilchrist,2011-10-21T00:00:00Z,"['brain', 'culture', 'neuroscience', 'science']"
The strange tale of the Norden bombsight,Malcolm Gladwell,2011-07-14T00:00:00Z,"['drones', 'invention', 'war']"
Open-source cancer research,Jay Bradner,2011-05-26T00:00:00Z,"['DNA', 'TEDx', 'business', 'cancer', 'chemistry', 'collaboration', 'community', 'crowdsourcing', 'genetics', 'medical research', 'molecular biology', 'open-source', 'science']"
Stories cut from paper,BÌ©atrice Coron,2011-03-01T00:00:00Z,"['art', 'creativity', 'storytelling']"
"FBI, here I am!",Hasan Elahi,2011-07-14T00:00:00Z,"['Surveillance', 'art', 'data', 'security', 'war', 'web']"
"Trust, morality -- and oxytocin?",Paul Zak,2011-07-13T00:00:00Z,"['behavioral economics', 'biology', 'brain', 'chemistry', 'cognitive science', 'culture', 'empathy', 'happiness', 'medicine', 'mind', 'molecular biology', 'morality', 'neuroscience', 'psychology', 'science', 'sociology']"
A plane you can drive,Anna Mracek Dietrich,2011-07-15T00:00:00Z,"['cars', 'design', 'flight', 'invention', 'transportation']"
The real reason for brains,Daniel Wolpert,2011-07-13T00:00:00Z,"['AI', 'biology', 'biomechanics', 'brain', 'cognitive science', 'consciousness', 'decision-making', 'engineering', 'evolution', 'math', 'neuroscience', 'robots', 'science']"
"Augmented reality, techno-magic",Marco Tempest,2011-07-13T00:00:00Z,"['entertainment', 'magic', 'technology']"
How mobile phones helped solve two murders,Paul Lewis,2011-04-02T00:00:00Z,"['TEDx', 'cities', 'collaboration', 'culture', 'global issues', 'journalism', 'social media']"
The right to understand,Sandra Fisher-Martins,2011-03-21T00:00:00Z,"['TEDx', 'culture', 'design', 'language', 'law', 'simplicity']"
The line between life and not-life,Martin Hanczyc,2011-05-18T00:00:00Z,"['AI', 'biology', 'chemistry', 'ecology', 'evolution', 'human origins', 'innovation', 'life', 'molecular biology', 'nanoscale', 'science']"
High-tech art (with a sense of humor),Aparna Rao,2011-07-14T00:00:00Z,"['TED Fellows', 'art', 'creativity', 'humor', 'technology']"
Ancient wonders captured in 3D,Ben Kacyra,2011-07-14T00:00:00Z,"['archaeology', 'history', 'invention', 'technology']"
A map of the brain,Allan Jones,2011-07-13T00:00:00Z,"['DNA', 'biotech', 'brain', 'cognitive science', 'disease', 'genetics', 'medical imaging', 'medical research', 'mental health', 'molecular biology', 'neuroscience', 'physiology', 'science', 'technology', 'visualizations']"
The shared experience of absurdity,Charlie Todd,2011-05-11T00:00:00Z,"['TEDx', 'comedy', 'community', 'culture', 'entertainment', 'humor']"
6 ways to save the internet,Roger McNamee,2011-03-02T00:00:00Z,"['Internet', 'TEDx', 'business', 'future', 'investment', 'technology']"
Open science now!,Michael Nielsen,2011-03-03T00:00:00Z,"['Internet', 'TEDx', 'collaboration', 'crowdsourcing', 'data', 'open-source', 'science', 'technology']"
Conception to birth -- visualized,Alexander Tsiaras,2010-12-02T00:00:00Z,"['Human body', 'biotech', 'design', 'medical imaging', 'medical research', 'physiology', 'pregnancy', 'science', 'science and art', 'visualizations']"
Fly with the Jetman,Yves Rossy,2011-07-13T00:00:00Z,"['adventure', 'design', 'flight', 'technology']"
